Increments,Abscissas in µm,Raw data,Smoothed data,Raw - Smoothed data,Smoothed data*Gain + Offset
426,2771.772,49697,40731.270,8965.730,49136.026
427,2778.278,49670,40844.103,8825.897,49280.452
428,2784.785,49543,40857.388,8685.612,49297.456
429,2791.291,49328,40791.473,8536.527,49213.085
430,2797.798,49044,40667.809,8376.191,49054.795
431,2804.304,48719,40508.256,8210.744,48850.568
432,2810.811,48391,40334.149,8056.851,48627.710
433,2817.317,48093,40163.603,7929.397,48409.411
434,2823.824,47849,40010.881,7838.119,48213.927
435,2830.330,47667,39885.747,7781.253,48053.756
436,2836.837,47547,39794.669,7752.331,47937.176
437,2843.343,47482,39741.450,7740.550,47869.056
438,2849.850,47467,39728.377,7738.623,47852.322
439,2856.356,47502,39756.569,7745.431,47888.409
440,2862.863,47586,39825.298,7760.702,47976.381
441,2869.369,47727,39933.156,7793.844,48114.440
442,2875.876,47928,40076.526,7851.474,48297.953
443,2882.382,48187,40249.776,7937.224,48519.713
444,2888.889,48495,40445.168,8049.832,48769.815
445,2895.395,48834,40652.844,8181.156,49035.640
446,2901.902,49178,40861.188,8316.812,49302.320
447,2908.408,49502,41058.265,8443.735,49554.580
448,2914.915,49782,41232.366,8549.634,49777.429
449,2921.421,50001,41372.971,8628.029,49957.403
450,2927.928,50153,41471.648,8681.352,50083.710
451,2934.434,50239,41521.800,8717.200,50147.903
452,2940.941,50260,41517.786,8742.214,50142.767
453,2947.447,50213,41454.501,8758.499,50061.762
454,2953.954,50092,41327.753,8764.247,49899.524
455,2960.460,49886,41134.376,8751.624,49652.002
456,2966.967,49582,40873.337,8708.663,49317.871
457,2973.473,49172,40494.850,8677.150,48833.409
458,2979.980,48658,40042.535,8615.465,48254.445
459,2986.486,48046,39524.055,8521.945,47590.790
460,2992.993,47350,38950.444,8399.556,46856.568
461,2999.499,46597,38336.444,8260.556,46070.648
462,3006.006,45825,37699.700,8125.300,45255.616
463,3012.513,45090,37060.461,8029.539,44437.390
464,3019.019,41959,36188.687,5770.313,43321.519
465,3025.526,41352,35697.791,5654.209,42693.172
466,3032.032,40973,35371.741,5601.259,42275.829
467,3038.539,40837,35221.489,5615.511,42083.506
468,3045.045,40952,35252.641,5699.359,42123.381
469,3051.552,41323,35465.327,5857.673,42395.618
470,3058.058,41952,35853.511,6098.489,42892.495
471,3064.565,42822,36402.624,6419.376,43595.359
472,3071.071,43897,37131.717,6765.283,44528.598
473,3077.578,45126,37946.002,7179.998,45570.882
474,3084.084,46458,38831.214,7626.786,46703.954
475,3090.591,47842,39752.922,8089.078,47883.741
476,3097.097,49225,40676.006,8548.994,49065.287
477,3103.604,50547,41565.441,8981.559,50203.765
478,3110.110,51749,42388.445,9360.555,51257.210
479,3116.617,52786,43117.054,9668.946,52189.829
480,3123.123,52809,43646.768,9162.232,52867.862
481,3129.630,53683,44185.088,9497.912,53556.913
482,3136.136,54319,44601.399,9717.601,54089.791
483,3142.643,54736,44881.281,9854.719,54448.040
484,3149.149,54964,45015.833,9948.167,54620.266
485,3155.656,55028,45002.840,10025.160,54603.635
486,3162.162,54931,44833.522,10097.478,54386.908
487,3168.669,54644,44499.966,10144.034,53959.956
488,3175.175,54116,44008.003,10107.997,53330.244
489,3181.682,53295,43332.965,9962.035,52466.196
490,3188.188,52159,42481.604,9677.396,51376.453
491,3194.695,50732,41471.880,9260.120,50084.007
492,3201.201,49263,40350.674,8912.326,48648.863
493,3207.708,47478,39109.065,8368.935,47059.603
494,3214.214,45611,37799.065,7811.935,45382.803
495,3220.721,43731,36462.539,7268.461,43672.050
496,3227.227,41889,35131.248,6757.752,41967.998
497,3233.734,40129,33838.798,6290.202,40313.661
